46,1,2,1,1,0,3,3,2,2,3,2,0,,,Edit Size,Total Example,Correct,%,,Patch Distance,Count,Percentage
150,1,0,1,7,1,1,1,1,8,2,2,0,,152,1,200,45,22.5,,0,152,14.37
170,1,0,2,2,1,2,1,2,2,2,2,0,,,2,165,21,12.73,,1,97,9.17
215,1,0,1,5,1,6,1,1,1,1,6,0,,,3,153,27,17.65,,2,84,7.94
230,1,1,2,2,2,1,2,2,2,2,0,0,,,4,72,9,12.5,,3,81,7.66
249,1,0,0,1,4,1,1,1,4,1,1,0,,,5,75,7,9.33,,4,56,5.29
276,1,1,0,5,2,2,2,2,1,2,1,0,,,6,53,3,5.66,,5,58,5.48
339,1,5,0,6,1,1,1,5,6,6,1,0,,,7,64,8,12.5,,,,
352,1,1,2,0,1,2,2,2,1,2,2,0,,,8,38,6,15.79,,,,
367,1,1,0,1,1,2,1,1,1,2,2,0,,,9,35,5,14.29,,,,
368,1,0,1,1,2,3,3,1,1,1,1,0,,,10,35,5,14.29,,,,
395,1,0,1,1,1,2,1,1,1,1,1,0,,,11,17,3,17.65,,,,
396,1,1,0,4,1,1,2,2,2,1,4,0,,,12,21,3,14.29,,,,
437,1,1,2,0,3,1,3,3,1,2,4,0,,,13,14,0,0,,,,
439,1,0,3,5,5,1,2,4,5,1,4,0,,,14,13,1,7.69,,,,
522,1,2,2,1,0,1,2,1,2,2,2,0,,,15,18,1,5.56,,,,
524,1,1,0,2,2,1,3,2,1,1,1,0,,,16,8,1,12.5,,,,
530,1,1,0,2,1,1,2,2,2,2,1,0,,,17,7,0,0,,,,
650,1,0,8,1,1,7,1,1,1,1,8,0,,,18,11,1,9.09,,,,
675,1,0,1,1,1,1,1,1,1,1,1,0,,,19,8,0,0,,,,
684,1,1,1,0,2,3,2,3,2,2,2,0,,,20,7,2,28.57,,,,
706,1,0,7,1,1,8,1,1,1,1,1,0,,,21,5,1,20,,,,
720,1,0,9,1,2,1,9,2,2,8,8,0,,,22,3,1,33.33,,,,
793,1,0,1,18,1,1,1,1,1,2,1,0,,,23,4,0,0,,,,
796,1,1,1,1,0,2,2,1,2,2,2,0,,,24,3,0,0,,,,
799,1,0,11,1,12,1,1,1,12,12,1,0,,,25,4,2,50,,,,
813,1,2,1,1,3,2,0,3,2,3,2,0,,,,,,,,,,
820,1,2,1,2,1,3,1,3,2,0,3,0,,,,,,,,,,
876,1,0,0,1,5,6,0,5,1,6,1,0,,,,,,,,,,
884,1,8,7,2,1,0,2,8,9,9,8,0,,,,,,,,,,
887,1,1,2,9,8,0,7,1,2,1,8,0,,,,,,,,,,
889,1,1,2,1,2,2,0,1,1,2,2,0,,,,,,,,,,
896,1,1,2,1,1,1,1,0,1,1,1,0,,,,,,,,,,
923,1,1,0,2,1,1,2,1,1,2,1,0,,,,,,,,,,
924,1,1,0,2,2,2,1,2,1,2,2,0,,,,,,,,,,
935,1,3,3,4,1,1,2,1,0,3,3,0,,,,,,,,,,
939,1,0,1,3,1,1,1,2,1,1,1,0,,,,,,,,,,
945,1,3,1,3,0,1,1,1,1,1,2,0,,,,,,,,,,
979,1,0,1,5,1,6,2,6,1,6,1,0,,,,,,,,,,
988,1,0,3,1,1,1,1,1,1,4,1,0,,,,,,,,,,
1009,1,1,0,4,3,2,2,2,2,1,5,0,,,,,,,,,,
1013,1,0,2,1,1,1,1,3,1,2,3,0,,,,,,,,,,
1038,1,0,3,1,1,1,1,1,1,1,1,0,,,,,,,,,,
1041,1,1,1,2,2,2,2,2,2,0,2,0,,,,,,,,,,
1047,1,0,24,1,1,25,1,1,1,1,1,0,,,,,,,,,,
78,2,1,0,1,1,2,2,1,2,2,2,0,,,,,,,,,,
94,2,1,17,17,16,0,1,17,2,1,17,0,,,,,,,,,,
96,2,2,1,3,3,1,2,2,3,0,3,0,,,,,,,,,,
105,2,2,1,3,1,3,3,3,2,0,2,0,,,,,,,,,,
171,2,0,2,1,3,1,1,1,3,3,1,0,,,,,,,,,,
209,2,2,6,6,0,5,2,6,1,6,2,0,,,,,,,,,,
278,2,0,3,1,1,1,1,1,1,1,1,0,,,,,,,,,,
290,2,2,1,1,3,3,0,2,3,2,3,0,,,,,,,,,,
487,2,1,1,0,4,2,2,4,2,2,1,0,,,,,,,,,,
499,2,1,2,2,0,1,3,2,1,1,2,0,,,,,,,,,,
630,2,0,1,1,1,1,2,2,1,1,1,0,,,,,,,,,,
637,2,0,1,1,2,1,1,1,2,3,1,0,,,,,,,,,,
740,2,2,1,3,1,2,3,0,3,2,4,0,,,,,,,,,,
770,2,0,1,8,2,8,2,1,1,9,9,0,,,,,,,,,,
776,2,0,1,1,2,1,2,1,2,1,2,0,,,,,,,,,,
778,2,8,0,9,7,1,1,9,9,9,9,0,,,,,,,,,,
814,2,1,3,1,0,3,2,2,1,4,1,0,,,,,,,,,,
854,2,2,0,3,3,3,1,3,3,1,3,0,,,,,,,,,,
861,2,1,2,0,2,5,1,1,3,6,1,0,,,,,,,,,,
862,2,9,1,0,8,9,8,1,1,9,8,0,,,,,,,,,,
914,2,0,3,2,4,1,1,3,3,1,1,0,,,,,,,,,,
3,3,0,1,1,1,1,1,2,1,1,1,0,,,,,,,,,,
111,3,1,3,2,0,2,2,2,2,2,2,0,,,,,,,,,,
159,3,0,1,1,1,1,1,1,1,1,2,0,,,,,,,,,,
162,3,3,4,4,5,1,2,1,2,3,0,0,,,,,,,,,,
210,3,0,1,1,1,5,5,1,2,1,1,0,,,,,,,,,,
235,3,0,5,1,1,5,1,5,5,5,5,0,,,,,,,,,,
309,3,0,3,1,1,1,1,1,2,2,4,0,,,,,,,,,,
407,3,2,5,1,4,2,2,1,4,5,0,0,,,,,,,,,,
416,3,3,4,0,4,1,4,4,4,4,1,0,,,,,,,,,,
473,3,3,0,4,1,1,4,4,4,4,4,0,,,,,,,,,,
504,3,0,6,3,5,7,2,5,2,1,6,0,,,,,,,,,,
535,3,0,2,14,13,12,13,15,13,1,2,0,,,,,,,,,,
546,3,0,1,3,4,1,1,5,1,1,2,0,,,,,,,,,,
559,3,2,1,2,1,2,1,1,17,2,0,0,,,,,,,,,,
643,3,1,4,4,0,3,1,4,2,1,1,0,,,,,,,,,,
649,3,0,7,9,1,8,8,1,8,1,1,0,,,,,,,,,,
670,3,1,0,2,2,1,1,2,2,2,3,0,,,,,,,,,,
737,3,0,5,1,1,6,1,1,1,1,6,0,,,,,,,,,,
739,3,0,15,1,14,1,15,1,15,16,1,0,,,,,,,,,,
807,3,0,1,1,2,1,1,1,8,1,1,0,,,,,,,,,,
815,3,1,2,2,0,3,2,3,2,2,1,0,,,,,,,,,,
841,3,1,2,4,5,5,6,2,3,0,1,0,,,,,,,,,,
844,3,0,1,1,1,1,2,1,1,2,2,0,,,,,,,,,,
929,3,1,1,3,2,3,2,0,1,2,2,0,,,,,,,,,,
987,3,7,1,0,1,1,8,9,8,1,1,0,,,,,,,,,,
997,3,1,1,1,2,2,2,0,2,2,2,0,,,,,,,,,,
1034,3,0,1,8,1,1,8,1,1,7,8,0,,,,,,,,,,
204,4,1,0,2,1,2,2,2,2,2,2,0,,,,,,,,,,
277,4,1,0,1,2,1,2,2,2,1,2,0,,,,,,,,,,
297,4,0,1,3,4,4,5,3,3,2,2,0,,,,,,,,,,
378,4,0,9,1,1,1,1,1,10,1,1,0,,,,,,,,,,
461,4,3,2,2,1,2,1,1,0,3,4,0,,,,,,,,,,
548,4,1,0,1,3,2,3,2,1,1,2,0,,,,,,,,,,
579,4,1,1,0,13,14,2,2,2,1,1,0,,,,,,,,,,
605,4,1,0,1,2,2,1,2,1,2,1,0,,,,,,,,,,
795,4,0,1,8,1,1,1,1,1,1,1,0,,,,,,,,,,
295,5,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,
344,5,0,3,3,1,3,4,3,4,4,3,0,,,,,,,,,,
575,5,1,1,2,0,10,10,11,1,1,9,0,,,,,,,,,,
652,5,0,1,2,5,1,1,5,1,2,6,0,,,,,,,,,,
787,5,0,5,1,1,1,1,1,6,6,1,0,,,,,,,,,,
960,5,2,1,2,2,0,1,1,2,1,1,0,,,,,,,,,,
990,5,1,0,21,1,1,1,20,1,20,21,0,,,,,,,,,,
44,6,1,1,1,1,1,0,2,2,2,2,0,,,,,,,,,,
133,6,1,1,0,2,2,2,2,6,2,2,0,,,,,,,,,,
563,6,1,0,5,5,2,2,6,6,2,1,0,,,,,,,,,,
18,7,0,1,1,1,1,1,1,1,1,2,0,,,,,,,,,,
126,7,0,2,2,1,2,1,2,1,1,1,0,,,,,,,,,,
208,7,0,1,1,1,1,2,2,1,2,1,0,,,,,,,,,,
258,7,1,1,0,1,1,2,1,1,2,1,0,,,,,,,,,,
287,7,7,8,8,0,8,8,8,8,7,8,0,,,,,,,,,,
494,7,0,1,1,1,1,1,1,1,1,2,0,,,,,,,,,,
612,7,1,0,2,1,2,1,2,2,2,2,0,,,,,,,,,,
975,7,5,5,5,1,1,1,1,0,4,4,0,,,,,,,,,,
145,8,6,1,0,1,1,2,6,1,1,7,0,,,,,,,,,,
164,8,2,1,1,2,2,2,1,1,1,0,0,,,,,,,,,,
725,8,8,1,1,0,9,2,7,2,2,2,0,,,,,,,,,,
731,8,0,1,2,3,3,4,2,3,1,2,0,,,,,,,,,,
1002,8,1,1,2,2,2,2,2,0,2,1,0,,,,,,,,,,
1031,8,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,
449,9,1,1,3,2,1,0,3,11,1,2,0,,,,,,,,,,
464,9,1,1,2,1,3,1,0,2,11,1,0,,,,,,,,,,
492,9,0,2,2,1,1,1,1,1,1,3,0,,,,,,,,,,
542,9,0,1,1,1,1,1,1,1,2,1,0,,,,,,,,,,
732,9,2,1,1,0,3,3,2,3,2,3,0,,,,,,,,,,
187,10,0,1,1,1,2,1,2,1,2,1,0,,,,,,,,,,
246,10,0,1,1,2,3,3,1,1,2,1,0,,,,,,,,,,
300,10,0,1,1,5,2,1,1,1,2,1,0,,,,,,,,,,
335,10,1,1,0,2,2,2,1,2,1,2,0,,,,,,,,,,
1033,10,3,1,0,5,2,4,5,1,2,4,0,,,,,,,,,,
703,11,0,1,1,2,1,1,2,2,1,1,0,,,,,,,,,,
941,11,1,1,0,2,2,2,1,11,2,2,0,,,,,,,,,,
1021,11,10,11,11,0,1,11,11,11,11,1,0,,,,,,,,,,
